time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label
112000,29.25,0.43,10.75,0.43,18.75,0.83,bending2
112250,29.25,0.43,11.50,0.50,18.50,0.50,bending2
112500,29.33,0.47,9.00,0.00,18.50,0.50,bending2
112750,29.00,0.00,10.25,0.43,18.25,0.43,bending2
113000,28.50,0.50,10.00,0.71,18.50,0.50,bending2
113250,28.50,0.50,9.00,0.00,18.50,0.50,bending2
113500,28.75,0.43,9.25,0.43,18.50,0.50,bending2
113750,28.75,0.43,8.25,0.83,17.75,0.43,bending2
114000,29.00,0.00,9.50,0.87,17.50,0.87,bending2
114250,28.50,0.50,9.33,0.94,16.33,0.47,bending2
114500,28.50,0.50,11.75,0.43,20.00,0.71,bending2
114750,28.25,0.43,10.50,0.50,20.50,0.50,bending2
115000,28.50,0.50,9.25,0.43,20.25,0.83,bending2
115250,28.33,0.47,11.75,0.43,20.33,0.94,bending2
115500,28.67,0.47,10.00,0.82,20.25,0.83,bending2
115750,28.67,0.47,9.00,0.00,21.00,0.00,bending2
116000,28.50,0.50,8.75,0.83,21.00,0.00,bending2
116250,29.00,0.00,7.50,0.50,20.50,0.50,bending2
116500,29.25,0.43,6.75,0.43,20.50,0.50,bending2
116750,29.00,0.00,7.67,0.47,20.75,0.43,bending2
117000,28.25,0.43,9.00,0.71,20.75,0.43,bending2
117250,29.00,0.00,11.25,0.43,21.00,0.00,bending2
117500,29.00,0.00,12.00,0.00,20.75,0.43,bending2
117750,29.00,0.71,11.25,0.43,21.25,0.43,bending2
118000,29.00,0.00,10.00,0.82,21.33,0.47,bending2
118250,28.67,0.47,11.00,1.00,19.33,1.25,bending2
118500,28.50,0.50,2.33,1.25,16.60,1.20,bending2
118750,28.67,0.47,4.67,1.25,17.33,0.47,bending2
119000,27.50,0.50,5.50,2.50,17.25,1.30,bending2
119250,28.00,0.00,6.67,0.94,17.00,1.00,bending2
119500,28.00,0.00,5.00,0.82,17.00,0.71,bending2
119750,28.00,0.00,0.00,0.00,17.00,1.00,bending2
